Message,Prediction,Topic
"
Distribution: world
Message-ID: <1r2ach$8tc@lll-winken.llnl.gov>
Reply-To: eliezer@physics.llnl.gov (David A Eliezer)
NNTP-Posting-Host: physics.llnl.gov
Keywords: PET, SPECT, resolution


I have become involved in a project to further develop and 
improve the performance of SPECT (Single Photon Emission
Computerized Tomography) imaging.  We will eventually have
to peddle this stuff somewhere, and so as I move this thing
along, I would like to know --

What is the current resolution of SPECT imaging?  What kinds
of jobs is SPECT used for, specifically?  What kind of specific jobs
could I hope
that SPECT could be used for, if its resolution improved,
say, to close to that of PET (Positron Emission Tomography)?
And how much does a SPECT machine cost?  How much does a single
SPECT image cost?  

If anyone knows the answer to any or all of these questions, OR
where I could find that answer, I would be very grateful, indeed.  
Thanks in advance for any replies

					Dave Eliezer
					eliezer@physics.llnl.gov




",E,M
"


Dear Netters
I want to send EMG-signals from a running person to a computer. 
Each signal is 4KHz wide and there is up to 30 of them on each
running person. The signal is only to be sent over a few hundred 
meters. It seems to me that the frequency intended for this use is
about 150MHz and about 440MHz.
To make the transmitters as light as possible I suppose it will be best 
the to send the signals in an analog form. As this application is rather 
specialized I do not expect to be able to buy the exact transmitter-
units i need.
On the other hand I imagine that I can buy the receiver somewhere. I 
need a multichannel (up to 30 channels) receiver or 30 complete  
receivers in some rack system where one can add as many receivers 
as needed in the particular case.
DO ANYBODY KNOW IF THERE IS EXISTING SUCH RECEIVER 
SYSTEM ON THE MARKET?

baldur@rsp.is     (TF3BP) (please respond by email rather than nn)
",E,E
"

In article <1993Apr5.044140.1@vaxc.stevens-tech.edu>, u92_hwong@vaxc.stevens-tech.edu writes:
> 
> Hi there,
> 
> 	I have a very oily skin.  My problem is when I wash my face, it becomes
> oily in half an hour.  Especially in the nose region.  Is this an illness?  How
> can I prevent it from occuring in such short time?  Is there a cleanser out
> there that will do a better job -- that is after cleaning, my face won't become
> oily in such a short time.
> 
> 	Thank you for any suggestion.
> 
>if this is a disease, everyone should have it.  My skin has always been oily -
i used to say ""if i were hot enough, you could fry an egg on my oily face"".
i am now 50 yrs old and my skin looks younger (i'm told) than some people's
skin at 30 (it's still oily).  i have only a very few tiny wrinkles.  Thank
your lucky stars for that skin. 
",E,M
"

In article <1993Apr15.100452.16793@csx.cciw.ca> u009@csx.cciw.ca (G. Stewart Beal) writes:
>In article <120466@netnews.upenn.edu> jhaines@eniac.seas.upenn.edu (Jason Haines) writes:
>>
>>	I was wondering if people had any good uses for old
>>256k SIMMs.  I have a bunch of them for the Apple Mac
>>and I know lots of other people do to.  I have tried to
>>sell them but have gotten NO interest.
>>
>>	So, if you have an inovative use (or want to buy
>>some SIMMs  8-) ), I would be very interested in hearing
>>about it.
>>
>One of the guys at work takes 20 of them, uses cyano-acrylate glue to make
>five four-wide ""panels"" then constructs a box, with bottom, to use as a
>pencil holder.
>

Or, if you've got some entreprenuerial (sp?) spirit, get a cheapy
clear plastic box, mount the simm inside, and sell it as a 'Pet SIMM'!

I'm sure there are *plenty* of suckers out there who would go
for it!

aaron


",E,E
"

In article <80412@cup.portal.com> Mark Robert Thorson, mmm@cup.portal.com
writes:
> Colonics were a health fad of the 19th century, which persists to this
day.
> Except for certain medical conditions, there is no reason to do this.
> Certainly no normal person should do this.

In article <1993Apr28.023749.9259@informix.com> Robert Hartman,
hartman@informix.com writes:
> Also, insofar as it doesn't conform to the accepted medical presumption
> that it just doesn't matter what you eat, and that we can think of the
> GI tract as a black box in which nothing ever goes wrong (except for
> maybe cancer and ulcers), the righteous will no doubt jump on that too.

Recently, I completed a 2 week juice fast (with 3 days of water) and had
two colonics as part of it.  My motivation was primarily spiritual, to
de-toxify from all the crap I've been putting in my body (not like thats
enough to clean it all out but it did have an effect).  Personaly, I
didn't find it an uncomfortable experience (the colonic), lost about
15lbs of beer belly (which hasn't come back over the last month), and
feel great.  One of the things that prompted me to get the colonic was
seeing my 90 year old grandmother chair ridden from colitis (?) from
years of indulgence.

Not everything that goes in comes out, and personaly I don't mind giving
my body a hand once in a while.

Just my experience,

George Paap

I am my beliefs.
(which almost certainly are not those of my employer)
",M,M
"
Message-ID: <ltijudINNj0e@saltillo.cs.utexas.edu>
References: <noringC5yGw1.F1M@netcom.com>
NNTP-Posting-Host: saltillo.cs.utexas.edu

-*----
In article <noringC5yGw1.F1M@netcom.com> noring@netcom.com (Jon Noring) writes:
> ...  Of course, they are working on the theory that candida
> overbloom with penetration into mucus membrane tissue with
> associated ""mild"" inflammatory response can and does occur 
> in a large number of people.  If you reject this ""yeast 
> hypothesis"", then I'd guess you'd view this research as one
> more wasteful and quixotic endeavor.  Stay tuned.

I do not have enough medical expertise to have much of an opinion
one way or another on hidden candida infections.  I can
understand the skepticism of those who see this associated with
various general kinds of symptoms, while there is a lack of solid
demonstration that this happens and causes such general symptoms.
(To understand this skepticism, one only needs to know of past
failures that shared these characteristics with the notion of
hidden candida infection.  There have been quite a few, and the
proponents of all thought that the skeptics were overly skeptical.)

On the other hand, I am happy to read that some people are
sufficiently interested in this possibility, spurred by
suggestive clinical experience, to research it further.  The
doubters may be surprised.  (It has happened before.)

I realize that admitting ignorance in the face of ignorance may
not endear me to those who are so sure they know one way or
another.  (And, indeed, perhaps some of them do know -- I am the
one who is currently ignorant.)  But I find this the most honest
route, and so I am happy with it.

Russell
",M,M
"

John Ackermann x 2966 (jra@law7.DaytonOH.NCR.COM) wrote:
: My next project is to come up with an IF/detector module for fast -- 112
: to 250 kB/sec -- packet radio use.  No fancy modulation scheme, just
: wide FSK for use at 902 or 1296 MHz.

: I'm a bit familiar with the Motorola 3362 chip, but I wonder if there
: are newer designs that might work at higher input frequencies.

: My goal is to come up with an inexpensive design for a receiver ""back
: end"" with IF input on one end and an FSK demondulator on the other.  I'm
: particularly interested in ways to use a higher IF than 10.7 -- do any
: current chips work up to, say 150MHz with internal downconversion so a
: normal IF filter can be used?

: Any suggestions?

: John

  What you describe is very close to what I built and described in the
10th ARRL Computer Network Conference proceedings.

  I built 10 watt FSK transceivers at 904 MHz.  They are essentially
double conversion transverters with digital mod and demod at 29 MHz.
The receiver uses the MC13055 which is the same FSK receiver chip I used
previouslyu in the 2 Mbps 10 GHz data link I first published in Ham
Radio and which is now also in the ARRL handbook.

  The MC3356, which includes a VHF converter section, could also be used
at these speeds.  There is a newer and perhaps slightly improved design
of this (the MC13056 if I remember rightly).

  While using this would have let me reduce the ""external"" IF count on
receive, it didn't really offer all that much help on transmit so I
didn't bother with it.

  The radios I built were first designed and built for 512 kbps in a 2
MHz channel but later reduced to half that.  These 256 kbps radios
actually have done quite well in across-the-bench tests at 384 kbps and
speed is pretty much a function of filter design.  Handling the data
stream is another matter entirely.

  Some of the existing radios are currently deployed on hilltops in a
""beacon"" test mode.  While there is not yet end-end two-way data flow
due to lack of resources to debug software for the digital hardware (MIO
also shown in the CNC proceedings), data is perfect copy at n6gn.  Even
though the data clock is currently at about half speed, the a 2+ kbytes
of the test text (chapter 55 of Isaiah) takes only a little over 1/8 of
a second.

  I've been hoping that someone would get interested enough to step in
and get involved in writing code to make the whole thing usable (Borland
IDE environment with remote debugging possible as mentioned in the
proceedings) but to date a couple of us have been on our own and running
low on resources of time, money and energy.

  If anyone in the SF bay area wants to check it out there is also a CW
ID after the text on the mark side at 904.740 MHz from beacons on Sonoma
Mtn and Black Mtn (overlooking Si valley).  The antenna is horizontally
polarized.

  I guess in retrospect my suggestions are that this is a fairly costly
approach if the radios are intended for users rather than backbones and
you might want to carefully consider your ""target"".  If you can't
arrange your paths such that you have complete line-of-sight I think
you'll want to address the inter-symbol-interference caused by
multipath and probably link C/N budgets if paths are very far from LOS.
For more details, see the 10th CNC.  I'm currently working on a spread
spectrum, direct conversion design to address some of these problems.
I'd be glad to help as I can with any design problems.

73
Glenn Elmore n6gn

N6GN @ K3MC      
amateur IP:	glenn@SantaRosa.ampr.org
Internet:	glenne@sr.hp.com 


",E,E
"

     I posted about a ""pulse of (relaxation) electricity"".  I now think
it more like a pulse of ""relaxation"" or comfort than a pulse of
electricity.  It is what you feel if you are overwhelmed by a feeling
of comfort, such as seeing or thinking about something beautiful.

     Another thing.  When you sleep, you lie down facing up, with your
palms aside of you and facing down on the surface of the bed.  Then you
relax, and there start involuntary nerve firings inside your flesh.  So,
you feel a ""shiver"" below the surface of the skin (not heart-beat).
Then this shiver increases, and comes up to your head, and the roam you
hear loudens.  (Note that you always hear a high-pitch when you lie down
in bed; this is just the noise of your blood running in your ear.)  This
roam is different from the high pitch, but follows the shiver of your
body.

     ""Shiver"" is not the word.  It may be called a mild vibration or quake.
What is this shiver and roam?  Can I use this to induce out-of-body
experience?

					Daniel Chung (Mr.), U.S.A.
",E,M
"


I bought this chip from Suncoast Technology and tried to build their
dtmf decoder circuit.  But it's not working...

If anyone has the pinouts and possibly the voltage specs I'd sure
appreciated it.  If someone could fax, email, or snail mail a copy
of the spec sheet for this chip that would be even better. :)

Please email me if you can help.  

Thanks in advance,
-- 
Mont Pierce

+-------------------------------------------------------------------------+
| Ham Call: KM6WT             Internet:  mont@netcom.com                  |
|    bands: 80/40/20/15/10/2  IBM vnet:  mont@vnet.ibm.com                |
|    modes: cw,ssb,fm                                                     |
+-------------------------------------------------------------------------+
",E,E
"

In article <1993Apr22.143929.26131@midway.uchicago.edu> jacquier@gsbux1.uchicago.edu (Eric Jacquier ) writes:
>
>I am interested in trying this ""desensitization"" (?) method
>against hay fever.
>What is the state of affairs about this. I went to a doctor and
>paid $85 for a 10 minute interview + 3 scratches, leading to the
>diagnostic that I am allergic to (June and Timothy) grass.
>I believe this. From now on it looks like 2 shots per week for
>6 months followed by 1 shot per month or so. Each shot costs
>$20. Talking about soaring costs and the Health care system, I would
>call that a racket. We are not talking about rare Amazonian grasses
>here, but the garbage which grows behind the doctor's office.
>Apart from this issue, I was somewhat disappointed to find out
>that you have to keep getting the shots forever. Is that right?
>Thanks for information.
>
>
Go to your public library and get the February, 1988 issue of Consumer
Reports.  An article on allergy shots begins on page 96.  This article
is MUST reading for anyone contemplating allergy shots.
",M,M
"
Message-ID: <1qkf2hINN65c@rave.larc.nasa.gov>
References: <120466@netnews.upenn.edu> <1993Apr15.100452.16793@csx.cciw.ca> <C5JCH1.FrC@ulowell.ulowell.edu>
NNTP-Posting-Host: grissom.larc.nasa.gov

In article <C5JCH1.FrC@ulowell.ulowell.edu> wex@cs.ulowell.edu writes:
>In article <1993Apr15.100452.16793@csx.cciw.ca>, u009@csx.cciw.ca (G. Stewart Beal) writes:
>|> >	I was wondering if people had any good uses for old
>|> >256k SIMMs.  I have a bunch of them for the Apple Mac
>|> >and I know lots of other people do to.  I have tried to
>|> >sell them but have gotten NO interest.
>
>We use them as Christmas tree decorations, the cat doesn't eat these.

Yes, but they don't look appropriate.  I much prefer used 833 tubes on
my tree.
--scott
",E,E
"

",E,E
"

I've got the same problem; I can't dig up any info on the jumper settings
on the hd 3.5"" drives.

Can anyone recommend a reference book(s) on the subject, rather than a
""quick fix"" type answer??  I was going to start hooking up things and
logging the results, but the prospect of a ten second smoke test deters
me...

Thanks, Kirk Cowen.

-- Via DLG Pro v0.995

",E,E
"
Sender: news@ntuix.ntu.ac.sg (USENET News System)
Nntp-Posting-Host: v9001.ntu.ac.sg
Organization: Nanyang Technological University - Singapore
Date: Tue, 20 Apr 1993 09:54:33 GMT


currently I am using the 8051 microcontroller with external eprom..

In order to drive the dc motor (with direction) I use the Pulse width modultion 

thru software control(Assembly language programming). However I am afraid that

they will be overheads and thus alter the pulse timing. My question is 

is the software pwm control reliable?. I understand that port 0 is a latch

and so I vary the duty cycle by setting it high first and at the desire 

duty cycle then I set low..? Any improments ?
 

 
",E,E
"

In article <uabdpo.dpo.uab.edu-230493173928@spam.dom.uab.edu> uabdpo.dpo.uab.edu!gila005 (Stephen Holland) writes:
>In article <1993Apr23.211108.26887@midway.uchicago.edu>,
>bmdelane@quads.uchicago.edu (brian manning delaney) wrote:
>> 
>> One thing that I haven't seen in this thread is a discussion of the
>> relation between IBD inflammation and the profile of ingested fatty
>> acids (FAs).
>> [....]

> [....]
>even write a letter to the editor - it is a good point.  By the way,
>the abbreviation EPA is not in general use, so I do not know what 
>fatty acid you are speaking about.

Sorry -- I mean eicosapentaenoic acid.

>And to Brian an U of C ---  There is a physician named Stephen Hanauer
>there who is a recognized expert in the treatment of IBD.  You might 
>give him a call.

Coincidentaly, just yesterday I was (finally) referred from the clinic
to Hanauer. I'm seeing him on May 24. I'll report what he says about
this question.

>the treatment of IBD.  If you call please say hello to him from me,
>I was looking at U of C for a position, and perhaps still am.

Will do.

-Brian Delaney

",M,M
"

After I have produced a schematic with PADS-LOGIC, how do I import it into 
PADS-PCB to create a PCB pattern?  The only way I've gotten it to work is
to output a FutureNet netlist, and then import this into PADS-PCB.  Is there
another way of doing this?  I didn't see any information in the instructions
provided, but I might have missed something.  Any suggestions would be 
greatly appreciated.  Thanks!


 _I_______________________________________________________________________I_
(_@_)                                                                   (_@_)
|   |   Raymond Yeung               Internet: Nimbus@uiuc.edu           |   |
|   |                                         rky57514@uxa.cso.uiuc.edu |   |
|   |   EE student at the                                               |   |
|   |   University of Illinois    CompuServe: 70700,1011                |   |
|   |   at Urbana-Champaign                                             |   |
(___)-------------------------------------------------------------------(___)
  I                                                                       I
",E,E
"

In article <1993Apr14.172145.27458@ecsvax.uncecs.edu>,
crisp@ecsvax.uncecs.edu (Russ Crisp) wrote:
> 
> Hello
> I'm considering modernizing some old wiring in my home, and
> I need a little advice on outlet wiring.  Several outlets
> are the old 'two prong' type, without the ground.  Naturally,
> the wire feeding these outlets is 12/2, WITHOUT the ground
> wire.  I noticed at the fusebox that some circuits have the
> 12/2 with ground, and that on these circuits, the ground
> wire was tied to the same bus as the neutral (white) wire.
> 
> SO..  Here's my question.  It seems to me that I'd have the
> same electrical circuit if I hooked the neutral[D[D[D[D[D[D[D[D[D[D[Da jumper from the neutral
> over to the ground screw on new 'three prong' grounding outlets.
> What's wrong with my reasoning here?  

First, it will not pass a National Electrical code inspection.
Secondly, The neutral wire is current carrying and the ground wire
shouldn't be, or only during a fault condition.

The reason the neutral and ground are tied together in the panel is the
tranformer on the power pole has a grounded center-tap secondary, with the
grounded center-tap the neutral.  This gives 120v to neutral(ground) from
each side of the transformer and 240v across the transformer.  So in effect
the neutral and ground should be at the same potential. 

------------------------------------------------------------------
Mark E. Kilpela              email mkilpela@mtu.edu
Michigan Technological University
School of Technology
------------------------------------------------------------------
",E,E
"

In article <1quqlgINN83q@im4u.cs.utexas.edu> turpin@cs.utexas.edu (Russell Turpin) writes:
> My definition is this: Science is the investigation of the empirical
>that avoids mistakes in reasoning and methodology discovered from previous
>work.

Reading this definition, I wonder: when should you recognize something
as being a ""mistake""? It seems to me, that proponents of pseudo-sciences
might have their own ideas of what constitutes a ""mistake"" and which
discoveries of such previous mistakes they accept.

-- 
Kristoffer Eriksson, Peridot Konsult AB, Stallgatan 2, S-702 26 Oerebro, Sweden
Phone: +46 19-33 13 00  !  e-mail: ske@pkmab.se
Fax:   +46 19-33 13 30  !  or ...!mail.swip.net!kullmar!pkmab!ske
",E,M
"

In article <1993Apr16.105738.20864@hippo.ru.ac.za> webb@itu1 (90-29265  Webber  AH) writes:
> ...stuff deleted...
>
>I was also sceptical about the amps being built in the far-east
>  or where-ever.  But if you look in the amp and see what components
>  they use and how it was designed, you can easily see why the
>  amplifiers sound so brilliant.

Good point...also, I wouldn't be surprised that the components
they use off-shore are of inferior quality.  As long as it was
properly designed and robust, premium components are used, it
shouldn't matter where it is assembled.

>I cannot see why people say the amplifier won't last - not with
>  those quality components inside.  Sure the amp runs very fairly
>  hot - but that's how you get an amp to sound incredibly good.

An amp that runs hot has no bearing on how it's gonna sound.
The amp you have probably is running Class-A the whole day.

Actually, I'd be wary of excessively hot amps, 'cauz even though
the components inside may be rated to run that way, excessive 
heat will dramatically shorten the life of *any* electronic component
regardless of quality.  In fact, an amp that does run hot to the touch is
because either the engineer or manufacturer of that amp wanted
to skimp on heatsinking or cooling to save costs!  Hmmmmm....

aaron

.
",E,E
"
Nntp-Posting-Host: tw100.eng.cam.ac.uk

lancer@oconnor.WPI.EDU (Stephe Lewis Foskett) writes:


>I'm doing sound for a couple of bands around here and we need Direct
>Input boxes for the keyboards.  These are the little boxes that take a
>line level out of the keyboard and transform it into low-Z for the run
>to the mixer.  Sadly they cost like $50 (or more) each and I'm going

This is indeed one function, but more sophisticated ones do level control
and ground-lift (separating the keyboard and mixer earths) aswell.

>to need like 5 or 10 of them!  I looked inside one (belonging to
>another band) and it looks like just a transformer.  Does anyone have

Simple ones are just that - a transformer. A decent quality audio trans-
former will cost most of that $50. They are wired thus...


       HOT   --------------|  |----------------- HOT
                           )||(
     Input from            )||(                Balanced out to mixer
     Keyboard              )||(
                           |  |----------------- COLD
                           |
       GND   --------------|-------------------- GND

The ground-lift switch disconnects the GND line from the mixer. The
transformer ratio depends on the precise application, but around 10:1
turns ratio may be a good place to start.

Christopher
--
 ==============================================================================
  Christopher Hicks    |      Paradise is a Linear Gaussian World
  cmh@uk.ac.cam.eng    |    (also reported to taste hot and sweaty)
 ==============================================================================
",E,E
"

Here's a question for all you electrical engineers out there:

  I bought an 'Infrared detector module' at Radio Shack for $3.95 - it is a 
little gizmo that senses infrared remotes and produces an output signal. Then
I hooked the output through a transistor to an infrared LED. The circuit works
like a minature remote control extender in my car - All remote commands are
relayed to the CD player hidden in the glove compartment. It works fine with
my Denon CD player, but when I tried to build the same circuit for a friend's
VCR, it didn't work.
  The circuit appears to work for other remotes (you can see infrared with a
Sony CCD camcorder) but coincidentally it only seems to work for my CD
player...

	Any advice would be appreciated....
        Brian

---
UBSILER @ MSUVX1.MEMST.EDU

",E,E
"


--

I would like to be able to detect the angular position (low accuracy) of an
IR emitting source at a distance of about 100 meters (more is better) in
daylight.  The IR source could be emitting a signature; I'm leaning toward
30 KHz square wave with 50% duty cycle.

I am considering the use of a quadrant detector from Centronic Inc. to give
information to a pan/tilt head to point the sensor and thus determine the
angles.  For the source I am considering wazing the heck out of an IR LED(s),
possibly an Optek OP290 or Motorola MLED81.  Wazing would mean at least 1 Amp
current pulses.  At this current the duty cycle of the LED drops to 10% and I
would need to cycle five of them in turn to get the 50% required.

Has anyone done something like this?

Stan Burton (DND/CRAD/DRES/DTD/MSS/AGCG)                 sburton@dres.dnd.ca
(403) 544-4737     DRE Suffield, Box 4000, Medicine Hat, AB, Canada, T1A 8K6
",E,E
"

spp@zabriskie.berkeley.edu (Steve Pope) writes:

>In article <1qg98sINNokf@sheoak.ucnv.edu.au> jeff@redgum.ucnv.edu.au (j. pethybridge) writes:
>>	Hello again,
>> I asked this a year ago, but i am still looking.
>> I am getting sick of having to use a HC373 

>Jeff, just use the damned 373.   Sure, there are oddball
>latched memory chips, but do you really want to use them?

>Sorry if I'm pedantic but: design your circuit using
>reasonably available parts, and move on to more important
>problems.

We're looking at a series of chips by WSI, the PSD3xx series. They have
_mega_ address decoding logic on them, various ROM sizes (upto 1Mbit),
various RAM sizes (upto 16 K), and 19 I/O ports which can be chip select
lines, I/O or the buffered address lines.

Cute chip, 44 pin PLCC package.

Second sourcing may be a problem though :-(


Bryan Ryan, VK3TKX
Melbourne, Australia
bryan@philips.oz.au

",E,E
